Epoch 309: 25it [00:00, 37.81it/s, loss=3.91e+3]
Epoch 310: 25it [00:00, 40.14it/s, loss=3.53e+3]
Epoch 311: 25it [00:00, 37.08it/s, loss=2.13e+3]
Epoch 312: 25it [00:00, 39.61it/s, loss=3.28e+3]
Epoch 313: 25it [00:00, 37.71it/s, loss=1.85e+3]
Epoch 314: 25it [00:00, 37.81it/s, loss=1.75e+3]
Epoch 315: 25it [00:00, 37.11it/s, loss=3.87e+3]
Epoch 316: 25it [00:00, 38.20it/s, loss=2.62e+3]
Epoch 317: 25it [00:00, 36.28it/s, loss=2.12e+3]
Epoch 318: 25it [00:00, 36.52it/s, loss=2.68e+3]
Epoch 319: 25it [00:00, 36.94it/s, loss=1.64e+3]
Epoch 320: 25it [00:00, 37.07it/s, loss=1.46e+3]
Epoch 321: 25it [00:00, 36.96it/s, loss=2.06e+3]
Epoch 322: 25it [00:00, 36.79it/s, loss=3091.75]
Epoch 323: 25it [00:00, 36.88it/s, loss=2.78e+3]
Epoch 324: 25it [00:00, 34.86it/s, loss=2.06e+3]
Epoch 325: 25it [00:00, 37.44it/s, loss=1.85e+3]
Epoch 326: 25it [00:00, 38.01it/s, loss=1.76e+3]
Epoch 327: 25it [00:00, 34.70it/s, loss=1.69e+3]
Epoch 328: 25it [00:00, 37.65it/s, loss=1.7e+3]
Epoch 329: 25it [00:00, 37.39it/s, loss=1.81e+3]
Epoch 330: 25it [00:00, 36.38it/s, loss=1.79e+3]
Epoch 331: 25it [00:00, 36.49it/s, loss=3.46e+3]
Epoch 332: 25it [00:00, 36.61it/s, loss=2.12e+3]
Epoch 333: 25it [00:00, 36.41it/s, loss=2.21e+3]
Epoch 334: 25it [00:00, 36.45it/s, loss=2.08e+3]
Epoch 335: 25it [00:00, 37.71it/s, loss=3.65e+3]
Epoch 336: 25it [00:00, 37.41it/s, loss=2e+3]
Epoch 337: 25it [00:00, 37.90it/s, loss=2.24e+3]
Epoch 338: 25it [00:00, 37.02it/s, loss=1.67e+3]
Epoch 339: 25it [00:00, 35.11it/s, loss=1.42e+3]
Epoch 340: 25it [00:00, 38.69it/s, loss=3.02e+3]
Epoch 341: 25it [00:00, 36.89it/s, loss=1.9e+3]
Epoch 342: 25it [00:00, 38.95it/s, loss=3.05e+3]
Epoch 343: 25it [00:00, 39.27it/s, loss=5.2e+3]
Epoch 344: 25it [00:00, 38.58it/s, loss=1.92e+3]
Epoch 345: 25it [00:00, 37.09it/s, loss=2.54e+3]
Epoch 346: 25it [00:00, 37.76it/s, loss=2.35e+3]
Epoch 347: 25it [00:00, 37.22it/s, loss=2.42e+3]
Epoch 348: 25it [00:00, 37.61it/s, loss=2.93e+3]
Epoch 349: 25it [00:00, 37.65it/s, loss=2.41e+3]
Epoch 350: 25it [00:00, 36.37it/s, loss=1.75e+3]
Epoch 351: 25it [00:00, 36.10it/s, loss=4.67e+3]
Epoch 352: 25it [00:00, 37.25it/s, loss=3.15e+3]
Epoch 353: 25it [00:00, 38.04it/s, loss=5.87e+3]
Epoch 354: 25it [00:00, 37.71it/s, loss=1.85e+3]
Epoch 355: 25it [00:00, 35.68it/s, loss=6.28e+3]
Epoch 356: 25it [00:00, 36.83it/s, loss=3.11e+3]
Epoch 357: 25it [00:00, 38.91it/s, loss=1.46e+3]
Epoch 358: 25it [00:00, 36.05it/s, loss=1.46e+3]
Epoch 359: 25it [00:00, 38.06it/s, loss=2e+3]
Epoch 360: 25it [00:00, 37.54it/s, loss=2.93e+3]
Epoch 361: 25it [00:00, 37.29it/s, loss=1.5e+3]
Epoch 362: 25it [00:00, 37.91it/s, loss=1.39e+3]
Epoch 363: 25it [00:00, 38.37it/s, loss=1.7e+3]
Epoch 364: 25it [00:00, 37.56it/s, loss=2.53e+3]
Epoch 365: 25it [00:00, 37.31it/s, loss=1.65e+3]
Epoch 366: 25it [00:00, 37.54it/s, loss=4.64e+3]
Epoch 367: 25it [00:00, 37.32it/s, loss=2.96e+3]
Epoch 368: 25it [00:00, 37.22it/s, loss=3.23e+3]
Epoch 369: 25it [00:00, 36.52it/s, loss=2.02e+3]
Epoch 370: 25it [00:00, 36.24it/s, loss=1.67e+3]
Epoch 371: 25it [00:00, 37.42it/s, loss=2.13e+3]
Epoch 372: 25it [00:00, 36.89it/s, loss=2.06e+3]
Epoch 373: 25it [00:00, 37.51it/s, loss=4.14e+3]
Epoch 374: 25it [00:00, 35.93it/s, loss=6.59e+3]
Epoch 375: 25it [00:00, 38.95it/s, loss=1.41e+3]
Epoch 376: 25it [00:00, 37.31it/s, loss=2.86e+3]
Epoch 377: 25it [00:00, 34.83it/s, loss=2.04e+3]
Epoch 378: 25it [00:00, 36.82it/s, loss=1.94e+3]
Epoch 379: 25it [00:00, 37.23it/s, loss=1.41e+3]
Epoch 380: 25it [00:00, 35.66it/s, loss=5.34e+3]
Epoch 381: 25it [00:00, 36.26it/s, loss=1.59e+3]
Epoch 382: 25it [00:00, 37.51it/s, loss=3.14e+3]
Epoch 383: 25it [00:00, 38.69it/s, loss=977]
Epoch 384: 25it [00:00, 39.03it/s, loss=4.47e+3]
Epoch 385: 25it [00:00, 38.98it/s, loss=3.51e+3]
Epoch 386: 25it [00:00, 38.00it/s, loss=2.23e+3]
Epoch 387: 25it [00:00, 38.15it/s, loss=1.46e+3]
Epoch 388: 25it [00:00, 38.08it/s, loss=4.62e+3]
Epoch 389: 25it [00:00, 38.40it/s, loss=1.7e+3]
Epoch 390: 25it [00:00, 36.84it/s, loss=2.52e+3]
Epoch 391: 25it [00:00, 36.50it/s, loss=1.82e+3]
Epoch 392: 25it [00:00, 37.27it/s, loss=1.77e+3]
Epoch 393: 25it [00:00, 38.83it/s, loss=3.34e+3]
Epoch 394: 25it [00:00, 39.06it/s, loss=2.75e+3]
Epoch 395: 25it [00:00, 39.27it/s, loss=2.53e+3]
Epoch 396: 25it [00:00, 37.15it/s, loss=1.77e+3]
Epoch 397: 25it [00:00, 39.47it/s, loss=1.51e+3]
Epoch 398: 25it [00:00, 37.77it/s, loss=1.85e+3]
Epoch 399: 25it [00:00, 36.09it/s, loss=2.9e+3]
Epoch 400: 25it [00:00, 36.84it/s, loss=2.08e+3]
Epoch 401: 25it [00:00, 37.88it/s, loss=4.08e+3]
Epoch 402: 25it [00:00, 35.86it/s, loss=2.16e+3]
Epoch 403: 25it [00:00, 36.68it/s, loss=1.84e+3]
Epoch 404: 25it [00:00, 37.79it/s, loss=1.21e+3]
Epoch 405: 25it [00:00, 36.56it/s, loss=2.16e+3]
Epoch 406: 25it [00:00, 37.14it/s, loss=2.02e+3]
Epoch 407: 25it [00:00, 36.64it/s, loss=2.17e+3]
Epoch 408: 25it [00:00, 35.11it/s, loss=2.84e+3]
Epoch 409: 25it [00:00, 37.30it/s, loss=2.19e+3]
Epoch 410: 25it [00:00, 36.63it/s, loss=2.34e+3]
Epoch 411: 25it [00:00, 36.87it/s, loss=1.73e+3]
Epoch 412: 25it [00:00, 36.96it/s, loss=6.77e+3]
